Filename                                                                                       Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
build/coverage/deps/Catch2/src/src/catch2/internal/catch_getenv.cpp                                  1                 0   100.00%           1                 0   100.00%           3                 0   100.00%           0                 0         -
build/coverage/deps/Catch2/src/src/catch2/internal/catch_istream.cpp                                60                50    16.67%          21                15    28.57%          68                59    13.24%          22                21     4.55%
build/coverage/deps/Catch2/src/src/catch2/internal/catch_istream.hpp                                 1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
build/coverage/deps/Catch2/src/src/catch2/internal/catch_lazy_expr.cpp                              11                11     0.00%           1                 1     0.00%          13                13     0.00%           8                 8     0.00%
build/coverage/deps/Catch2/src/src/catch2/internal/catch_lazy_expr.hpp                               3                 3     0.00%           2                 2     0.00%           5                 5     0.00%           0                 0         -
build/coverage/deps/Catch2/src/src/catch2/internal/catch_leak_detector.cpp                           2                 1    50.00%           2                 1    50.00%           4                 3    25.00%           0                 0         -
build/coverage/deps/Catch2/src/src/catch2/internal/catch_list.cpp                                   25                20    20.00%           7                 6    14.29%          79                71    10.13%          24                20    16.67%
build/coverage/deps/Catch2/src/src/catch2/internal/catch_main.cpp                                    1                 0   100.00%           1                 0   100.00%           5                 0   100.00%           0                 0         -
build/coverage/deps/Catch2/src/src/catch2/internal/catch_message_info.cpp                            5                 5     0.00%           1                 1     0.00%           5                 5     0.00%           0                 0         -
build/coverage/deps/Catch2/src/src/catch2/internal/catch_message_info.hpp                            1                 1     0.00%           1                 1     0.00%           3                 3     0.00%           0                 0         -
build/coverage/deps/Catch2/src/src/catch2/internal/catch_optional.hpp                               84                69    17.86%          19                11    42.11%          62                46    25.81%          30                27    10.00%
build/coverage/deps/Catch2/src/src/catch2/internal/catch_output_redirect.cpp                        16                16     0.00%           8                 8     0.00%          22                22     0.00%           0                 0         -
build/coverage/deps/Catch2/src/src/catch2/internal/catch_parse_numbers.cpp                          17                17     0.00%           1                 1     0.00%          22                22     0.00%           8                 8     0.00%
build/coverage/deps/Catch2/src/src/catch2/internal/catch_polyfills.cpp                               2                 2     0.00%           2                 2     0.00%           6                 6     0.00%           0                 0         -
build/coverage/deps/Catch2/src/src/catch2/internal/catch_random_number_generator.cpp                10                 6    40.00%           7                 3    57.14%          31                11    64.52%           2                 2     0.00%
build/coverage/deps/Catch2/src/src/catch2/internal/catch_random_number_generator.hpp                 4                 2    50.00%           3                 2    33.33%           7                 6    14.29%           0                 0         -
build/coverage/deps/Catch2/src/src/catch2/internal/catch_random_seed_generation.cpp                  7                 4    42.86%           1                 0   100.00%          11                 4    63.64%           8                 4    50.00%
build/coverage/deps/Catch2/src/src/catch2/internal/catch_reporter_registry.cpp                      26                18    30.77%           7                 3    57.14%          42                15    64.29%           6                 5    16.67%
build/coverage/deps/Catch2/src/src/catch2/internal/catch_reporter_spec_parser.cpp                   98                89     9.18%           7                 6    14.29%         126               122     3.17%          58                58     0.00%
build/coverage/deps/Catch2/src/src/catch2/internal/catch_reporter_spec_parser.hpp                    5                 1    80.00%           5                 1    80.00%          11                 3    72.73%           0                 0         -
build/coverage/deps/Catch2/src/src/catch2/internal/catch_result_type.cpp                             5                 4    20.00%           5                 4    20.00%          11                 8    27.27%           0                 0         -
build/coverage/deps/Catch2/src/src/catch2/internal/catch_result_type.hpp                             1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
build/coverage/deps/Catch2/src/src/catch2/internal/catch_reusable_string_stream.cpp                 11                 3    72.73%           6                 2    66.67%          29                11    62.07%           2                 1    50.00%
build/coverage/deps/Catch2/src/src/catch2/internal/catch_reusable_string_stream.hpp                  2                 2     0.00%           2                 2     0.00%           5                 5     0.00%           0                 0         -
build/coverage/deps/Catch2/src/src/catch2/internal/catch_run_context.cpp                           276               226    18.12%          50                36    28.00%         469               346    26.23%         110                99    10.00%
build/coverage/deps/Catch2/src/src/catch2/internal/catch_sharding.hpp                               13                 6    53.85%           1                 0   100.00%          14                 8    42.86%           4                 2    50.00%
build/coverage/deps/Catch2/src/src/catch2/internal/catch_singletons.cpp                              7                 0   100.00%           4                 0   100.00%          17                 0   100.00%           4                 0   100.00%
build/coverage/deps/Catch2/src/src/catch2/internal/catch_singletons.hpp                              5                 0   100.00%           3                 0   100.00%          14                 0   100.00%           2                 0   100.00%
build/coverage/deps/Catch2/src/src/catch2/internal/catch_source_line_info.cpp                       13                13     0.00%           3                 3     0.00%          11                11     0.00%          14                14     0.00%
build/coverage/deps/Catch2/src/src/catch2/internal/catch_startup_exception_registry.cpp              5                 4    20.00%           2                 1    50.00%          10                 7    30.00%           0                 0         -
build/coverage/deps/Catch2/src/src/catch2/internal/catch_stdstreams.cpp                              3                 2    33.33%           3                 2    33.33%           3                 2    33.33%           0                 0         -
build/coverage/deps/Catch2/src/src/catch2/internal/catch_string_manip.cpp                           56                36    35.71%          14                 9    35.71%          80                55    31.25%          50                40    20.00%
build/coverage/deps/Catch2/src/src/catch2/internal/catch_string_manip.hpp                            3                 0   100.00%           1                 0   100.00%           3                 0   100.00%           0                 0         -
build/coverage/deps/Catch2/src/src/catch2/internal/catch_stringref.cpp                              19                15    21.05%           6                 3    50.00%          36                27    25.00%           8                 8     0.00%
build/coverage/deps/Catch2/src/src/catch2/internal/catch_stringref.hpp                              28                 7    75.00%           9                 0   100.00%          30                 2    93.33%          10                 4    60.00%
build/coverage/deps/Catch2/src/src/catch2/internal/catch_tag_alias_registry.cpp                     26                23    11.54%           6                 3    50.00%          32                27    15.62%          14                14     0.00%
build/coverage/deps/Catch2/src/src/catch2/internal/catch_test_case_info_hasher.cpp                   7                 7     0.00%           2                 2     0.00%          24                24     0.00%           8                 8     0.00%
build/coverage/deps/Catch2/src/src/catch2/internal/catch_test_case_registry_impl.cpp                52                32    38.46%          13                 7    46.15%         118                72    38.98%          42                32    23.81%
build/coverage/deps/Catch2/src/src/catch2/internal/catch_test_case_registry_impl.hpp                 1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
build/coverage/deps/Catch2/src/src/catch2/internal/catch_test_case_tracker.cpp                     128                60    53.12%          31                 9    70.97%         177                54    69.49%          66                41    37.88%
build/coverage/deps/Catch2/src/src/catch2/internal/catch_test_case_tracker.hpp                      28                17    39.29%          13                 7    46.15%          37                22    40.54%          12                12     0.00%
build/coverage/deps/Catch2/src/src/catch2/internal/catch_test_failure_exception.cpp                  2                 2     0.00%           2                 2     0.00%           8                 8     0.00%           0                 0         -
build/coverage/deps/Catch2/src/src/catch2/internal/catch_test_registry.cpp                          14                 2    85.71%           6                 0   100.00%          37                14    62.16%           2                 1    50.00%
build/coverage/deps/Catch2/src/src/catch2/internal/catch_test_run_info.hpp                           2                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
build/coverage/deps/Catch2/src/src/catch2/internal/catch_test_spec_parser.cpp                      109               101     7.34%          18                15    16.67%         200               192     4.00%         100                98     2.00%
build/coverage/deps/Catch2/src/src/catch2/internal/catch_test_spec_parser.hpp                        1                 1     0.00%           1                 1     0.00%           5                 5     0.00%           0                 0         -
build/coverage/deps/Catch2/src/src/catch2/internal/catch_textflow.cpp                              152               152     0.00%          22                22     0.00%         189               189     0.00%          90                90     0.00%
build/coverage/deps/Catch2/src/src/catch2/internal/catch_textflow.hpp                               28                28     0.00%          14                14     0.00%          32                32     0.00%           6                 6     0.00%
build/coverage/deps/Catch2/src/src/catch2/internal/catch_uncaught_exceptions.cpp                     1                 1     0.00%           1                 1     0.00%           2                 2     0.00%           0                 0         -
build/coverage/deps/Catch2/src/src/catch2/internal/catch_unique_ptr.hpp                             58                26    55.17%          17                 2    88.24%          53                 5    90.57%           8                 5    37.50%
build/coverage/deps/Catch2/src/src/catch2/internal/catch_wildcard_pattern.cpp                       19                19     0.00%           3                 3     0.00%          29                29     0.00%          16                16     0.00%
build/coverage/deps/Catch2/src/src/catch2/internal/catch_xmlwriter.cpp                             161               161     0.00%          31                31     0.00%         252               252     0.00%         102               102     0.00%
build/coverage/deps/Catch2/src/src/catch2/internal/catch_xmlwriter.hpp                               2                 2     0.00%           2                 2     0.00%           9                 9     0.00%           0                 0         -
build/coverage/deps/Catch2/src/src/catch2/matchers/catch_matchers.cpp                                4                 4     0.00%           2                 2     0.00%           7                 7     0.00%           2                 2     0.00%
build/coverage/deps/Catch2/src/src/catch2/matchers/catch_matchers.hpp                                1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
build/coverage/deps/Catch2/src/src/catch2/matchers/catch_matchers_string.cpp                        43                43     0.00%          21                21     0.00%          70                70     0.00%           8                 8     0.00%
build/coverage/deps/Catch2/src/src/catch2/matchers/internal/catch_matchers_impl.cpp                  2                 2     0.00%           1                 1     0.00%           5                 5     0.00%           0                 0         -
build/coverage/deps/Catch2/src/src/catch2/matchers/internal/catch_matchers_impl.hpp                  5                 5     0.00%           2                 2     0.00%           9                 9     0.00%           0                 0         -
build/coverage/deps/Catch2/src/src/catch2/reporters/catch_reporter_automake.cpp                     12                12     0.00%           3                 3     0.00%          18                18     0.00%           6                 6     0.00%
build/coverage/deps/Catch2/src/src/catch2/reporters/catch_reporter_automake.hpp                      4                 4     0.00%           2                 2     0.00%           6                 6     0.00%           0                 0         -
build/coverage/deps/Catch2/src/src/catch2/reporters/catch_reporter_common_base.cpp                  12                 4    66.67%           6                 4    33.33%          23                16    30.43%           0                 0         -
build/coverage/deps/Catch2/src/src/catch2/reporters/catch_reporter_compact.cpp                      77                77     0.00%          17                17     0.00%         172               172     0.00%          62                62     0.00%
build/coverage/deps/Catch2/src/src/catch2/reporters/catch_reporter_console.cpp                     256               203    20.70%          45                31    31.11%         486               384    20.99%         184               166     9.78%
build/coverage/deps/Catch2/src/src/catch2/reporters/catch_reporter_cumulative_base.cpp             108               108     0.00%          18                18     0.00%         100               100     0.00%          34                34     0.00%
build/coverage/deps/Catch2/src/src/catch2/reporters/catch_reporter_cumulative_base.hpp              20                20     0.00%          16                16     0.00%          19                19     0.00%           0                 0         -
build/coverage/deps/Catch2/src/src/catch2/reporters/catch_reporter_helpers.cpp                      97                84    13.40%          18                16    11.11%         243               225     7.41%          66                60     9.09%
build/coverage/deps/Catch2/src/src/catch2/reporters/catch_reporter_helpers.hpp                       2                 2     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
build/coverage/deps/Catch2/src/src/catch2/reporters/catch_reporter_junit.cpp                       105               105     0.00%          17                17     0.00%         219               219     0.00%          92                92     0.00%
build/coverage/deps/Catch2/src/src/catch2/reporters/catch_reporter_junit.hpp                         1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
build/coverage/deps/Catch2/src/src/catch2/reporters/catch_reporter_multi.cpp                        63                63     0.00%          25                25     0.00%         141               141     0.00%          60                60     0.00%
build/coverage/deps/Catch2/src/src/catch2/reporters/catch_reporter_registrars.hpp                    3                 1    66.67%           2                 1    50.00%           6                 3    50.00%           0                 0         -
build/coverage/deps/Catch2/src/src/catch2/reporters/catch_reporter_sonarqube.cpp                    66                66     0.00%           8                 8     0.00%         115               115     0.00%          68                68     0.00%
build/coverage/deps/Catch2/src/src/catch2/reporters/catch_reporter_sonarqube.hpp                     7                 7     0.00%           4                 4     0.00%          15                15     0.00%           0                 0         -
build/coverage/deps/Catch2/src/src/catch2/reporters/catch_reporter_streaming_base.cpp                3                 0   100.00%           3                 0   100.00%           7                 0   100.00%           0                 0         -
build/coverage/deps/Catch2/src/src/catch2/reporters/catch_reporter_streaming_base.hpp               19                10    47.37%          17                10    41.18%          27                11    59.26%           0                 0         -
build/coverage/deps/Catch2/src/src/catch2/reporters/catch_reporter_tap.cpp                          65                65     0.00%          13                13     0.00%         156               156     0.00%          56                56     0.00%
build/coverage/deps/Catch2/src/src/catch2/reporters/catch_reporter_tap.hpp                           4                 4     0.00%           2                 2     0.00%           7                 7     0.00%           0                 0         -
build/coverage/deps/Catch2/src/src/catch2/reporters/catch_reporter_teamcity.cpp                     67                67     0.00%           9                 9     0.00%         129               129     0.00%          56                56     0.00%
build/coverage/deps/Catch2/src/src/catch2/reporters/catch_reporter_teamcity.hpp                      5                 5     0.00%           3                 3     0.00%          12                12     0.00%           0                 0         -
build/coverage/deps/Catch2/src/src/catch2/reporters/catch_reporter_xml.cpp                          80                80     0.00%          21                21     0.00%         262               262     0.00%          68                68     0.00%
cxb/cxb-cxx.h                                                                                      384               105    72.66%         104                41    60.58%         597               256    57.12%         182                78    57.14%
cxb/cxb.cpp                                                                                        303                99    67.33%          39                12    69.23%         387                95    75.45%         188                89    52.66%
deps/Catch2/src/catch2/catch_tostring.hpp                                                           28                28     0.00%          17                17     0.00%          56                56     0.00%           8                 8     0.00%
deps/Catch2/src/catch2/internal/catch_assertion_handler.hpp                                          4                 1    75.00%           2                 0   100.00%           8                 2    75.00%           2                 1    50.00%
deps/Catch2/src/catch2/internal/catch_decomposer.hpp                                                26                 2    92.31%          13                 2    84.62%          44                 7    84.09%           0                 0         -
deps/Catch2/src/catch2/internal/catch_message_info.hpp                                               1                 1     0.00%           1                 1     0.00%           3                 3     0.00%           0                 0         -
deps/Catch2/src/catch2/internal/catch_reusable_string_stream.hpp                                     1                 1     0.00%           1                 1     0.00%           4                 4     0.00%           0                 0         -
deps/Catch2/src/catch2/internal/catch_source_line_info.hpp                                           3                 0   100.00%           1                 0   100.00%           3                 0   100.00%           0                 0         -
